surface,file,selector,layer,action,risks,background,position,z_index,isolation,overflow,opacity,backdrop_filter,height
tablet,tools/prisma-pos-visual-control/backups/dom_alignment_lock_20260502_232717/products/tablet/app/components/tablet-shell/prisma-tablet-shell.module.css,.navActive,navigation,conservar_con_cuidado,background activo,var(--prisma-active-surface),,,,,,,
tablet,tools/prisma-pos-visual-control/backups/dom_alignment_lock_20260502_232717/products/tablet/app/components/tablet-shell/prisma-tablet-shell.module.css,"[data-theme=""prisma-light""] .navActive",navigation,conservar_con_cuidado,background activo,var(--prisma-frosted-accent-gradient),,,,,,,
tablet,tools/prisma-pos-visual-control/backups/dom_alignment_lock_20260502_232717/products/tablet/app/components/tablet-shell/prisma-tablet-shell.module.css,.terminalCard,card,conservar,background activo,var(--prisma-glass-gradient),,,,,,,
tablet,tools/prisma-pos-visual-control/backups/dom_alignment_lock_20260502_232717/products/tablet/app/components/tablet-shell/prisma-tablet-shell.module.css,"[data-theme=""prisma-light""] .terminalCard",card,conservar,background activo,var(--prisma-frosted-accent-gradient),,,,,,,
tablet,tools/prisma-pos-visual-control/backups/dom_alignment_lock_20260502_232717/products/tablet/app/components/tablet-shell/prisma-tablet-shell.module.css,.terminalIcon,unknown,conservar,,"color-mix(in srgb, var(--prisma-accent-gold) 11%, transparent)",,,,,,,36px
tablet,tools/prisma-pos-visual-control/backups/dom_alignment_lock_20260502_232717/products/tablet/app/components/tablet-shell/prisma-tablet-shell.module.css,.main,viewport,conservar,,,,,,,,,
tablet,tools/prisma-pos-visual-control/backups/dom_alignment_lock_20260502_232717/products/tablet/app/components/tablet-shell/prisma-tablet-shell.module.css,.header,unknown,conservar,,,,,,,,,86px
tablet,tools/prisma-pos-visual-control/backups/dom_alignment_lock_20260502_232717/products/tablet/app/components/tablet-shell/prisma-tablet-shell.module.css,.titleGroup h1,unknown,conservar,,,,,,,,,
tablet,tools/prisma-pos-visual-control/backups/dom_alignment_lock_20260502_232717/products/tablet/app/components/tablet-shell/prisma-tablet-shell.module.css,.titleGroup p,unknown,conservar,,,,,,,,,
tablet,tools/prisma-pos-visual-control/backups/dom_alignment_lock_20260502_232717/products/tablet/app/components/tablet-shell/prisma-tablet-shell.module.css,.kicker,unknown,conservar,,,,,,,,,
tablet,tools/prisma-pos-visual-control/backups/dom_alignment_lock_20260502_232717/products/tablet/app/components/tablet-shell/prisma-tablet-shell.module.css,.statusArea,unknown,conservar,,,,,,,,,
tablet,tools/prisma-pos-visual-control/backups/dom_alignment_lock_20260502_232717/products/tablet/app/components/tablet-shell/prisma-tablet-shell.module.css,.headerControls,unknown,conservar,,,,,,,,,
tablet,tools/prisma-pos-visual-control/backups/dom_alignment_lock_20260502_232717/products/tablet/app/components/tablet-shell/prisma-tablet-shell.module.css,.headerIconButton,unknown,conservar,background activo,var(--prisma-glass-gradient),relative,,,,,,48px
tablet,tools/prisma-pos-visual-control/backups/dom_alignment_lock_20260502_232717/products/tablet/app/components/tablet-shell/prisma-tablet-shell.module.css,.headerIconButton span,unknown,conservar,background activo; position:absolute,var(--prisma-gold-gradient),absolute,,,,,,18px
tablet,tools/prisma-pos-visual-control/backups/dom_alignment_lock_20260502_232717/products/tablet/app/components/tablet-shell/prisma-tablet-shell.module.css,.actionBand,unknown,conservar,,,,,,,,,
tablet,tools/prisma-pos-visual-control/backups/dom_alignment_lock_20260502_232717/products/tablet/app/components/tablet-shell/prisma-tablet-shell.module.css,.content,viewport,conservar,,,,,,,,,
tablet,tools/prisma-pos-visual-control/backups/dom_alignment_lock_20260502_232717/products/tablet/app/components/tablet-shell/prisma-tablet-shell.module.css,.statusPill,unknown,conservar,background activo,var(--prisma-glass-gradient),,,,,,,30px
tablet,tools/prisma-pos-visual-control/backups/dom_alignment_lock_20260502_232717/products/tablet/app/components/tablet-shell/prisma-tablet-shell.module.css,.status_ok,unknown,conservar,,"color-mix(in srgb, var(--prisma-success) 13%, transparent)",,,,,,,
tablet,tools/prisma-pos-visual-control/backups/dom_alignment_lock_20260502_232717/products/tablet/app/components/tablet-shell/prisma-tablet-shell.module.css,.status_warn,state,conservar_con_cuidado,,"color-mix(in srgb, var(--prisma-warning) 14%, transparent)",,,,,,,
tablet,tools/prisma-pos-visual-control/backups/dom_alignment_lock_20260502_232717/products/tablet/app/components/tablet-shell/prisma-tablet-shell.module.css,.status_danger,state,conservar_con_cuidado,,"color-mix(in srgb, var(--prisma-danger) 13%, transparent)",,,,,,,
tablet,tools/prisma-pos-visual-control/backups/dom_alignment_lock_20260502_232717/products/tablet/app/components/tablet-shell/prisma-tablet-shell.module.css,.status_neutral,unknown,conservar,,,,,,,,,
tablet,tools/prisma-pos-visual-control/backups/dom_alignment_lock_20260502_232717/products/tablet/app/components/tablet-shell/prisma-tablet-shell.module.css,.shell,shell,conservar,,,,,,,,,
tablet,tools/prisma-pos-visual-control/backups/dom_alignment_lock_20260502_232717/products/tablet/app/components/tablet-shell/prisma-tablet-shell.module.css,".brand, .navItem, .navActive, .terminalCard",navigation,conservar_con_cuidado,,,,,,,,,
tablet,tools/prisma-pos-visual-control/backups/dom_alignment_lock_20260502_232717/products/tablet/app/components/tablet-shell/prisma-tablet-shell.module.css,.brand,unknown,conservar,,,,,,,,,82px
tablet,tools/prisma-pos-visual-control/backups/dom_alignment_lock_20260502_232717/products/tablet/app/components/tablet-shell/prisma-tablet-shell.module.css,.brandMark,unknown,conservar,,,,,,,,,44px
tablet,tools/prisma-pos-visual-control/backups/dom_alignment_lock_20260502_232717/products/tablet/app/components/tablet-shell/prisma-tablet-shell.module.css,.prismaShard,unknown,conservar,,,,,,,,,42px
tablet,tools/prisma-pos-visual-control/backups/dom_alignment_lock_20260502_232717/products/tablet/app/components/tablet-shell/prisma-tablet-shell.module.css,".brandText, .navItem span, .navActive span, .terminalCard span:last-child",navigation,conservar_con_cuidado,,,,,,,,,
tablet,tools/prisma-pos-visual-control/backups/dom_alignment_lock_20260502_232717/products/tablet/app/components/tablet-shell/prisma-tablet-shell.module.css,.header,unknown,conservar,,,,,,,,,
tablet,tools/prisma-pos-visual-control/backups/dom_alignment_lock_20260502_232717/products/tablet/app/components/tablet-shell/prisma-tablet-shell.module.css,.statusArea,unknown,conservar,,,,,,,,,
tablet,tools/prisma-pos-visual-control/backups/dom_alignment_lock_20260502_232717/products/tablet/app/components/tablet-shell/prisma-tablet-shell.module.css,.shell,shell,conservar,,,,,,,,,
tablet,tools/prisma-pos-visual-control/backups/dom_alignment_lock_20260502_232717/products/tablet/app/components/tablet-shell/prisma-tablet-shell.module.css,.sidebar,navigation,conservar_con_cuidado,position:sticky; z-index:10,,sticky,10,,,,,auto
tablet,tools/prisma-pos-visual-control/backups/dom_alignment_lock_20260502_232717/products/tablet/app/components/tablet-shell/prisma-tablet-shell.module.css,.navList,navigation,conservar_con_cuidado,,,,,,,,,
tablet,tools/prisma-pos-visual-control/backups/dom_alignment_lock_20260502_232717/products/tablet/app/components/tablet-shell/prisma-tablet-shell.module.css,.terminalCard,card,conservar,,,,,,,,,
tablet,tools/prisma-pos-visual-control/backups/dom_alignment_lock_20260502_232717/products/tablet/app/components/tablet-shell/prisma-tablet-shell.module.css,/* PRISMA_GLASS_DEPTH_PASS_01: tablet shell optical pass */ .shell,shell,transparentar_o_convertir_a_glass,background activo; posible tapador de fondo; isolation:isolate,"var(--prisma-scene-noise), var(--prisma-app-background-radial)",relative,,isolate,,,,
tablet,tools/prisma-pos-visual-control/backups/dom_alignment_lock_20260502_232717/products/tablet/app/components/tablet-shell/prisma-tablet-shell.module.css,.sidebar,navigation,conservar_con_cuidado,overflow:hidden; glass/backdrop-filter,"radial-gradient(circle at 52% -4%, rgba(245, 209, 131, 0.18), transparent 32%), linear-gradient(180deg, var(--prisma-sidebar-surface), rgba(3, 8, 14, 0.56))",relative,,,hidden,,blur(var(--prisma-glass-blur)) saturate(var(--prisma-glass-saturate)),
tablet,tools/prisma-pos-visual-control/backups/dom_alignment_lock_20260502_232717/products/tablet/app/components/tablet-shell/prisma-tablet-shell.module.css,.sidebar::before,navigation,conservar_con_cuidado,position:absolute; opacity:0.54,"linear-gradient(180deg, var(--prisma-glass-edge-top), transparent 12%), linear-gradient(90deg, rgba(255, 255, 255, 0.1), transparent 24%)",absolute,,,,0.54,,
tablet,tools/prisma-pos-visual-control/backups/dom_alignment_lock_20260502_232717/products/tablet/app/components/tablet-shell/prisma-tablet-shell.module.css,".brand, .terminalCard, .header, .actionBand, .statusPill, .headerIconButton, .navItem, .navActive",navigation,conservar_con_cuidado,background activo; overflow:hidden; glass/backdrop-filter,"var(--prisma-glass-inner-bloom), var(--prisma-glass-gradient)",relative,,,hidden,,blur(calc(var(--prisma-glass-blur) * 0.74)) saturate(var(--prisma-glass-saturate)),
tablet,tools/prisma-pos-visual-control/backups/dom_alignment_lock_20260502_232717/products/tablet/app/components/tablet-shell/prisma-tablet-shell.module.css,".brand::before, .terminalCard::before, .header::before, .actionBand::before, .statusPill::before, .headerIconButton::before, .navItem::before, .navActive::before",navigation,conservar_con_cuidado,position:absolute; opacity:0.56,"linear-gradient(180deg, var(--prisma-glass-edge-top), transparent 18%), linear-gradient(112deg, rgba(255, 255, 255, 0.12), transparent 34%)",absolute,,,,0.56,,
tablet,tools/prisma-pos-visual-control/backups/dom_alignment_lock_20260502_232717/products/tablet/app/components/tablet-shell/prisma-tablet-shell.module.css,".brand > *, .terminalCard > *, .header > *, .actionBand > *, .statusPill > *, .headerIconButton > *, .navItem > *, .navActive > *",navigation,conservar_con_cuidado,z-index:1,,relative,1,,,,,
tablet,tools/prisma-pos-visual-control/backups/dom_alignment_lock_20260502_232717/products/tablet/app/components/tablet-shell/prisma-tablet-shell.module.css,.navActive,navigation,conservar_con_cuidado,,,,,,,,,
tablet,tools/prisma-pos-visual-control/backups/dom_alignment_lock_20260502_232717/products/tablet/app/components/tablet-shell/prisma-tablet-shell.module.css,"[data-theme=""prisma-light""] .sidebar, [data-theme=""prisma-light""] .brand, [data-theme=""prisma-light""] .terminalCard, [data-theme=""prisma-light""] .header, [data-theme=""prisma-light""] .actionBand, [data-theme=""prisma-light""] .statusPill, [data-theme=""prisma-light""] .headerIconButton, [data-theme=""prisma-light""] .navItem, [data-theme=""prisma-light""] .navActive",navigation,conservar_con_cuidado,background activo,"var(--prisma-glass-inner-bloom), var(--prisma-frosted-accent-gradient)",,,,,,,
tablet,tools/prisma-pos-visual-control/backups/dom_alignment_lock_20260502_232717/products/tablet/app/components/tablet-shell/prisma-tablet-shell.module.css,/* PRISMA_LIVING_BACKGROUND_PASS_01B: Tablet shell living scene pass */ .shell,background,conservar,background activo; isolation:isolate,"var(--prisma-living-noise), var(--prisma-living-scene-base) !important",relative,,isolate,,,,
tablet,tools/prisma-pos-visual-control/backups/dom_alignment_lock_20260502_232717/products/tablet/app/components/tablet-shell/prisma-tablet-shell.module.css,.shell::before,shell,transparentar_o_convertir_a_glass,background activo; posible tapador de fondo; position:fixed; z-index:-1; opacity:0.82,var(--prisma-living-haze-a),fixed,-1,,,0.82,,
tablet,tools/prisma-pos-visual-control/backups/dom_alignment_lock_20260502_232717/products/tablet/app/components/tablet-shell/prisma-tablet-shell.module.css,".sidebar, .brand, .terminalCard, .header, .actionBand, .statusPill, .headerIconButton, .navItem, .navActive",navigation,conservar_con_cuidado,background activo; glass/backdrop-filter,"var(--prisma-glass-inner-bloom), var(--prisma-glass-gradient) !important",,,,,,blur(var(--prisma-glass-blur)) saturate(var(--prisma-glass-saturate)) !important,
tablet,tools/prisma-pos-visual-control/backups/dom_alignment_lock_20260502_232717/products/tablet/app/components/tablet-shell/prisma-tablet-shell.module.css,".shell, .shell::before",shell,conservar,,,,,,,,,
tablet,tools/prisma-pos-visual-control/backups/dom_alignment_lock_20260502_232717/products/tablet/app/components/tablet-shell/prisma-tablet-shell.module.css,/* PRISMA_LAYER_DISCIPLINE_PASS_01C: Tablet shell uses body as the only living scene */ .shell,shell,conservar,isolation:isolate,transparent !important,,,isolate,,,,
tablet,tools/prisma-pos-visual-control/backups/dom_alignment_lock_20260502_232717/products/tablet/app/components/tablet-shell/prisma-tablet-shell.module.css,.shell::before,shell,conservar,,,,,,,,,
tablet,tools/prisma-pos-visual-control/backups/dom_alignment_lock_20260502_232717/products/tablet/app/components/tablet-shell/prisma-tablet-shell.module.css,".sidebar, .brand, .header, .actionBand, .terminalCard",navigation,conservar_con_cuidado,background activo; glass/backdrop-filter,var(--prisma-layer-panel-surface) !important,,,,,,blur(var(--prisma-layer-panel-blur)) saturate(var(--prisma-layer-saturate)) !important,
tablet,tools/prisma-pos-visual-control/backups/dom_alignment_lock_20260502_232717/products/tablet/app/components/tablet-shell/prisma-tablet-shell.module.css,".navItem, .navActive, .statusPill, .headerIconButton, .footerAction, .terminalMeta",navigation,conservar_con_cuidado,background activo; glass/backdrop-filter,var(--prisma-layer-control-surface) !important,,,,,,blur(var(--prisma-layer-control-blur)) saturate(1.08) !important,
tablet,tools/prisma-pos-visual-control/backups/dom_alignment_lock_20260502_232717/products/tablet/app/components/tablet-shell/prisma-tablet-shell.module.css,.navActive,navigation,conservar_con_cuidado,background activo,var(--prisma-active-surface) !important,,,,,,,
tablet,tools/prisma-pos-visual-control/backups/dom_alignment_lock_20260502_232717/products/tablet/app/components/tablet-shell/prisma-tablet-shell.module.css,/* PRISMA_BLACK_VISUAL_GOVERNANCE_PASS_01D START */ /* PRISMA_BLACK_VISUAL_GOVERNANCE_PASS_01D Tablet shell: no duplicated living scene; governed panels and controls only. */ .shell,shell,conservar,isolation:isolate,transparent !important,,,isolate,,,,
tablet,tools/prisma-pos-visual-control/backups/dom_alignment_lock_20260502_232717/products/tablet/app/components/tablet-shell/prisma-tablet-shell.module.css,.shell::before,shell,conservar,,,,,,,,,
tablet,tools/prisma-pos-visual-control/backups/dom_alignment_lock_20260502_232717/products/tablet/app/components/tablet-shell/prisma-tablet-shell.module.css,".sidebar, .brand, .header, .actionBand, .terminalCard",navigation,conservar_con_cuidado,background activo; glass/backdrop-filter,var(--prisma-glass-panel-governed) !important,,,,,,blur(var(--prisma-blur-panel-governed)) saturate(1.26) !important,
tablet,tools/prisma-pos-visual-control/backups/dom_alignment_lock_20260502_232717/products/tablet/app/components/tablet-shell/prisma-tablet-shell.module.css,".navItem, .navActive, .statusPill, .headerIconButton, .footerAction, .terminalMeta",navigation,conservar_con_cuidado,background activo; glass/backdrop-filter,var(--prisma-glass-control-governed) !important,,,,,,blur(var(--prisma-blur-chip-governed)) saturate(1.10) !important,
tablet,tools/prisma-pos-visual-control/backups/dom_alignment_lock_20260502_232717/products/tablet/app/components/tablet-shell/prisma-tablet-shell.module.css,.navActive,navigation,conservar_con_cuidado,background activo,"linear-gradient(180deg, rgba(255, 211, 122, 0.30), rgba(255, 185, 80, 0.13)), var(--prisma-glass-control-governed) !important",,,,,,,
tablet,tools/prisma-pos-visual-control/backups/dom_alignment_lock_20260502_232717/products/tablet/app/components/tablet-shell/prisma-tablet-shell.module.css,"html[data-prisma-profile=""perf""] .sidebar, html[data-layer-profile=""perf""] .sidebar, html[data-prisma-profile=""perf""] .brand, html[data-layer-profile=""perf""] .brand, html[data-prisma-profile=""perf""] .header, html[data-layer-profile=""perf""] .header",navigation,conservar_con_cuidado,glass/backdrop-filter,,,,,,,blur(10px) saturate(1.08) !important,
tablet,tools/prisma-pos-visual-control/backups/dom_alignment_lock_20260502_232717/products/tablet/app/components/tablet-shell/prisma-tablet-shell.module.css,/* PRISMA_BLACK_VISUAL_GOVERNANCE_PASS_01D END */ /* PRISMA_BLACK_VISUAL_REFINEMENT_01G::START */ .shell,shell,conservar,,"radial-gradient(circle at 50% -12%, rgba(245, 209, 131, 0.08), transparent 22%), var(--prisma-app-background-radial)",,,,,,,
tablet,tools/prisma-pos-visual-control/backups/dom_alignment_lock_20260502_232717/products/tablet/app/components/tablet-shell/prisma-tablet-shell.module.css,.sidebar,navigation,conservar_con_cuidado,,"radial-gradient(circle at 50% 0%, rgba(232, 189, 103, 0.14), transparent 26%), linear-gradient(180deg, rgba(8, 14, 22, 0.96), rgba(4, 8, 14, 0.98))",,,,,,,
tablet,tools/prisma-pos-visual-control/backups/dom_alignment_lock_20260502_232717/products/tablet/app/components/tablet-shell/prisma-tablet-shell.module.css,".brand, .terminalCard, .header, .headerIconButton, .navItem, .navActive",navigation,conservar_con_cuidado,background activo; glass/backdrop-filter,"linear-gradient(180deg, rgba(255, 255, 255, 0.04), rgba(255, 255, 255, 0) 22%), var(--prisma-glass-gradient)",,,,,,blur(var(--prisma-glass-blur)) saturate(1.08),
tablet,tools/prisma-pos-visual-control/backups/dom_alignment_lock_20260502_232717/products/tablet/app/components/tablet-shell/prisma-tablet-shell.module.css,".navItem:hover, .navItem:focus-visible",navigation,conservar_con_cuidado,,,,,,,,,
tablet,tools/prisma-pos-visual-control/backups/dom_alignment_lock_20260502_232717/products/tablet/app/components/tablet-shell/prisma-tablet-shell.module.css,.navActive,navigation,conservar_con_cuidado,background activo,"linear-gradient(90deg, rgba(232, 189, 103, 0.14), rgba(232, 189, 103, 0.03)), var(--prisma-glass-gradient)",,,,,,,
tablet,tools/prisma-pos-visual-control/backups/dom_alignment_lock_20260502_232717/products/tablet/app/components/tablet-shell/prisma-tablet-shell.module.css,.main,viewport,conservar,,,,,,,,,
tablet,tools/prisma-pos-visual-control/backups/dom_alignment_lock_20260502_232717/products/tablet/app/components/tablet-shell/prisma-tablet-shell.module.css,.content,viewport,conservar,,,,,,,,,
tablet,tools/prisma-pos-visual-control/backups/dom_alignment_lock_20260502_232717/products/tablet/app/components/tablet-shell/prisma-tablet-shell.module.css,/* PRISMA_BLACK_VISUAL_REFINEMENT_01G::END */ /* PRISMA_TABLET_RUNTIME_SNAPSHOT_03B */ .navPrimary,navigation,conservar_con_cuidado,,"radial-gradient(circle at 18% 0%, rgba(255, 255, 255, 0.2), transparent 36%), var(--prisma-gold-gradient)",,,,,,,62px
tablet,tools/prisma-pos-visual-control/backups/dom_alignment_lock_20260502_232717/products/tablet/app/components/tablet-shell/prisma-tablet-shell.module.css,".navPrimary:hover, .navPrimary:focus-visible",navigation,conservar_con_cuidado,,,,,,,,,
tablet,tools/prisma-pos-visual-control/backups/dom_alignment_lock_20260502_232717/products/tablet/app/components/tablet-shell/prisma-tablet-shell.module.css,.runtimeStrip,unknown,conservar,background activo; glass/backdrop-filter,"linear-gradient(135deg, rgba(255, 255, 255, 0.07), rgba(255, 255, 255, 0.025)), rgba(7, 15, 24, 0.62)",,,,,,blur(18px),
tablet,tools/prisma-pos-visual-control/backups/dom_alignment_lock_20260502_232717/products/tablet/app/components/tablet-shell/prisma-tablet-shell.module.css,.runtimeIdentity,unknown,conservar,,"color-mix(in srgb, var(--prisma-glass-surface) 58%, transparent)",,,,,,,
tablet,tools/prisma-pos-visual-control/backups/dom_alignment_lock_20260502_232717/products/tablet/app/components/tablet-shell/prisma-tablet-shell.module.css,.runtimeIdentity span,unknown,conservar,,,,,,,,,
tablet,tools/prisma-pos-visual-control/backups/dom_alignment_lock_20260502_232717/products/tablet/app/components/tablet-shell/prisma-tablet-shell.module.css,.runtimeIdentity strong,unknown,conservar,overflow:hidden,,,,,hidden,,,
tablet,tools/prisma-pos-visual-control/backups/dom_alignment_lock_20260502_232717/products/tablet/app/components/tablet-shell/prisma-tablet-shell.module.css,.runtimeIdentity small,unknown,conservar,,,,,,,,,
tablet,tools/prisma-pos-visual-control/backups/dom_alignment_lock_20260502_232717/products/tablet/app/components/tablet-shell/prisma-tablet-shell.module.css,.runtimeChips,unknown,conservar,,,,,,,,,
tablet,tools/prisma-pos-visual-control/backups/dom_alignment_lock_20260502_232717/products/tablet/app/components/tablet-shell/prisma-tablet-shell.module.css,.runtimeChip,unknown,conservar,,"color-mix(in srgb, var(--prisma-glass-surface) 45%, transparent)",,,,,,,62px
tablet,tools/prisma-pos-visual-control/backups/dom_alignment_lock_20260502_232717/products/tablet/app/components/tablet-shell/prisma-tablet-shell.module.css,".runtimeChip:hover, .runtimeChip:focus-visible",unknown,conservar,background activo,var(--prisma-hover-surface),,,,,,,
tablet,tools/prisma-pos-visual-control/backups/dom_alignment_lock_20260502_232717/products/tablet/app/components/tablet-shell/prisma-tablet-shell.module.css,.runtimeChip span,unknown,conservar,,,,,,,,,
tablet,tools/prisma-pos-visual-control/backups/dom_alignment_lock_20260502_232717/products/tablet/app/components/tablet-shell/prisma-tablet-shell.module.css,.runtimeChip strong,unknown,conservar,overflow:hidden,,,,,hidden,,,
tablet,tools/prisma-pos-visual-control/backups/dom_alignment_lock_20260502_232717/products/tablet/app/components/tablet-shell/prisma-tablet-shell.module.css,.runtime_ok,unknown,conservar,,,,,,,,,
tablet,tools/prisma-pos-visual-control/backups/dom_alignment_lock_20260502_232717/products/tablet/app/components/tablet-shell/prisma-tablet-shell.module.css,.runtime_warn,state,conservar_con_cuidado,,,,,,,,,
tablet,tools/prisma-pos-visual-control/backups/dom_alignment_lock_20260502_232717/products/tablet/app/components/tablet-shell/prisma-tablet-shell.module.css,.runtime_danger,state,conservar_con_cuidado,,,,,,,,,
tablet,tools/prisma-pos-visual-control/backups/dom_alignment_lock_20260502_232717/products/tablet/app/components/tablet-shell/prisma-tablet-shell.module.css,.runtime_neutral,unknown,conservar,,,,,,,,,
tablet,tools/prisma-pos-visual-control/backups/dom_alignment_lock_20260502_232717/products/tablet/app/components/tablet-shell/prisma-tablet-shell.module.css,.runtimePanel,panel,conservar,background activo,var(--prisma-glass-gradient),,,,,,,
tablet,tools/prisma-pos-visual-control/backups/dom_alignment_lock_20260502_232717/products/tablet/app/components/tablet-shell/prisma-tablet-shell.module.css,.runtimePanelHeader,panel,conservar,,,,,,,,,
tablet,tools/prisma-pos-visual-control/backups/dom_alignment_lock_20260502_232717/products/tablet/app/components/tablet-shell/prisma-tablet-shell.module.css,.runtimePanelHeader span,panel,conservar,,,,,,,,,
tablet,tools/prisma-pos-visual-control/backups/dom_alignment_lock_20260502_232717/products/tablet/app/components/tablet-shell/prisma-tablet-shell.module.css,.runtimePanelHeader strong,panel,conservar,,,,,,,,,
tablet,tools/prisma-pos-visual-control/backups/dom_alignment_lock_20260502_232717/products/tablet/app/components/tablet-shell/prisma-tablet-shell.module.css,.runtimeMetricGrid,card,conservar,,,,,,,,,
tablet,tools/prisma-pos-visual-control/backups/dom_alignment_lock_20260502_232717/products/tablet/app/components/tablet-shell/prisma-tablet-shell.module.css,.runtimeMetricGrid div,card,conservar,,"color-mix(in srgb, var(--prisma-glass-surface) 46%, transparent)",,,,,,,
tablet,tools/prisma-pos-visual-control/backups/dom_alignment_lock_20260502_232717/products/tablet/app/components/tablet-shell/prisma-tablet-shell.module.css,.runtimeMetricGrid dt,card,conservar,,,,,,,,,
tablet,tools/prisma-pos-visual-control/backups/dom_alignment_lock_20260502_232717/products/tablet/app/components/tablet-shell/prisma-tablet-shell.module.css,.runtimeMetricGrid dd,card,conservar,,,,,,,,,
tablet,tools/prisma-pos-visual-control/backups/dom_alignment_lock_20260502_232717/products/tablet/app/components/tablet-shell/prisma-tablet-shell.module.css,.runtimeWarnings,state,conservar_con_cuidado,,,,,,,,,
tablet,tools/prisma-pos-visual-control/backups/dom_alignment_lock_20260502_232717/products/tablet/app/components/tablet-shell/prisma-tablet-shell.module.css,.runtimeStrip,unknown,conservar,,,,,,,,,
tablet,tools/prisma-pos-visual-control/backups/dom_alignment_lock_20260502_232717/products/tablet/app/components/tablet-shell/prisma-tablet-shell.module.css,.runtimeChips,unknown,conservar,,,,,,,,,
tablet,tools/prisma-pos-visual-control/backups/dom_alignment_lock_20260502_232717/products/tablet/app/components/tablet-shell/prisma-tablet-shell.module.css,".runtimeChips, .runtimeMetricGrid",card,conservar,,,,,,,,,
tablet,tools/prisma-pos-visual-control/backups/dom_alignment_lock_20260502_232717/products/tablet/app/components/tablet-shell/prisma-tablet-shell.module.css,"/* PRISMA_POS_VISUAL_CONTROL_PLANE_BEGIN Owner: tools/prisma-pos-visual-control/tune_prisma_pos_visual.py Do not edit this block by hand. Adjust tokens or presets instead. */ .shell, .sidebar, .header, .content",shell,conservar,,,,,,,,,
tablet,tools/prisma-pos-visual-control/backups/dom_alignment_lock_20260502_232717/products/tablet/app/components/tablet-shell/prisma-tablet-shell.module.css,"/* PRISMA_POS_VISUAL_CONTROL_PLANE_END */ /* PRISMA_POS_VISUAL_SHELL_ATMOSPHERE_LOCK_260503_BEGIN Shell, sidebar and header final atmosphere for Tablet /pos. Tune values through tools/prisma-pos-visual-control/tune_prisma_pos_visual.py. */ .shell",background,conservar,isolation:isolate,"radial-gradient(circle at 18% -8%, rgba(245, 209, 131, calc(var(--prisma-pos-shell-bloom-opacity, 0.18) * 0.72)), transparent 34%), radial-gradient(circle at 76% 4%, rgba(70, 178, 255, calc(var(--prisma-pos-shell-haze-opacity, 0.22) * 0.44)), transparent 30%), radial-gradient(circle at 50% 118%, rgba(5, 14, 26, calc(0.72 + var(--prisma-pos-shell-bg-depth, 0.42) * 0.18)), transparent 54%), linear-gradient(135deg, #030811 0%, #07121f 44%, #03060c 100%)",relative,,isolate,,,,100vh
tablet,tools/prisma-pos-visual-control/backups/dom_alignment_lock_20260502_232717/products/tablet/app/components/tablet-shell/prisma-tablet-shell.module.css,".shell::before, .shell::after",shell,conservar,position:fixed; z-index:0,,fixed,0,,,,,
tablet,tools/prisma-pos-visual-control/backups/dom_alignment_lock_20260502_232717/products/tablet/app/components/tablet-shell/prisma-tablet-shell.module.css,.shell::before,shell,conservar,,"radial-gradient(ellipse at 42% 0%, rgba(255, 226, 170, calc(var(--prisma-pos-shell-bloom-opacity, 0.18) * 0.64)), transparent 36%), radial-gradient(ellipse at 12% 48%, rgba(86, 149, 255, calc(var(--prisma-pos-shell-haze-opacity, 0.22) * 0.42)), transparent 38%), radial-gradient(ellipse at 86% 36%, rgba(232, 189, 103, calc(var(--prisma-pos-shell-haze-opacity, 0.22) * 0.34)), transparent 34%)",,,,,1,,
tablet,tools/prisma-pos-visual-control/backups/dom_alignment_lock_20260502_232717/products/tablet/app/components/tablet-shell/prisma-tablet-shell.module.css,.shell::after,shell,conservar,opacity:0.82,"linear-gradient(rgba(255,255,255, calc(var(--prisma-pos-shell-noise-opacity, 0.055) * 0.42)) 1px, transparent 1px), linear-gradient(90deg, rgba(255,255,255, calc(var(--prisma-pos-shell-noise-opacity, 0.055) * 0.34)) 1px, transparent 1px), radial-gradient(ellipse at center, transparent 48%, rgba(0,0,0, var(--prisma-pos-shell-vignette-opacity, 0.46)) 100%)",,,,,0.82,,
tablet,tools/prisma-pos-visual-control/backups/dom_alignment_lock_20260502_232717/products/tablet/app/components/tablet-shell/prisma-tablet-shell.module.css,".sidebar, .main, .header",navigation,conservar_con_cuidado,z-index:1,,relative,1,,,,,
tablet,tools/prisma-pos-visual-control/backups/dom_alignment_lock_20260502_232717/products/tablet/app/components/tablet-shell/prisma-tablet-shell.module.css,.main,viewport,conservar,,,,,,,,,
tablet,tools/prisma-pos-visual-control/backups/dom_alignment_lock_20260502_232717/products/tablet/app/components/tablet-shell/prisma-tablet-shell.module.css,.sidebar,navigation,conservar_con_cuidado,glass/backdrop-filter,"radial-gradient(circle at 50% 0%, rgba(245, 209, 131, calc(var(--prisma-pos-shell-bloom-opacity, 0.18) * 0.72)), transparent 32%), linear-gradient(180deg, rgba(9, 19, 31, var(--prisma-pos-shell-sidebar-opacity, 0.82)), rgba(3, 7, 13, calc(var(--prisma-pos-shell-sidebar-opacity, 0.82) + 0.08)))",,,,,,"blur(var(--prisma-pos-shell-sidebar-blur, 28px)) saturate(1.14)",
